PartyId,CollisionId,PartyNumber,PartyType,IsAtFault,IsOnDutyEmergencyVehicle,IsHitAndRun,AirbagCode,AirbagDescription,SafetyEquipmentCode,SafetyEquipmentDescription,Special Information,Other Associate Factor,Inattention,DirectionOfTravel,StreetOrHighwayName,SpeedLimit,MovementPrecCollCode,MovementPrecCollDescription,SobrietyDrugPhysicalCode1,SobrietyDrugPhysicalDescription1,SobrietyDrugPhysicalCode2,SobrietyDrugPhysicalDescription2,GenderCode,GenderDescription,StatedAge,DriverLicenseClass,DriverLicenseStateCode,RaceCode,RaceDesc,Vehicle1TypeId, Vehicle1TypeDesc, Vehicle1Year,Vehicle1Make,Vehicle1Model,Vehicle1Color,V1IsVehicleTowed,Vehicle2TypeId, Vehicle2TypeDesc, Vehicle2Year,Vehicle2Make,Vehicle2Model,Vehicle2Color,V2IsVehicleTowed,Lane,ThruLanes,TotalLanes,IsDREConducted
1202790,640940,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,SR-85,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,51.0,C,CA,O,OTHER,1.0,PassengerCarStationWagonJeep,2018.0,FORD,Fusion,GRY,,,,,,,,,,,,
1202789,640940,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,SR-85,65.0,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,F,FEMALE,17.0,C,CA,W,WHITE,1.0,PassengerCarStationWagonJeep,2007.0,LEXU,IS250,BLU,,,,,,,,,,,,
1202788,640940,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,SR-85,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,20.0,C,CA,H,HISPANIC,1.0,PassengerCarStationWagonJeep,2014.0,NISS,Altima,BLK,,,,,,,,,,,,
1202587,640827,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,US-101,65.0,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,46.0,C,CA,H,HISPANIC,22.0,PickupsAndPanels,2000.0,CHEV,Silverado,RED,,,,,,,,,,,,
1202586,640827,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,US-101,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,56.0,C,CA,W,WHITE,1.0,PassengerCarStationWagonJeep,2008.0,VOLK,Jetta,BLU,,,,,,,,,,,,
1202480,640768,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-280,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,44.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2014.0,BMW,328i,RED,,,,,,,,,,,,
1202479,640768,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE HANDSFREE IN USE,NONE APPARENT,,N,I-280,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,,C,CA,B,BLACK,1.0,PassengerCarStationWagonJeep,2013.0,MAZD,MAZDA 3,RED,,,,,,,,,,,,
1202414,640736,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,US101,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,47.0,C,CA,H,HISPANIC,26.0,TwoAxleTruck,2012.0,FORD,E350,WHI,,,,,,,,,,,,
1202413,640736,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,US101,65.0,I,PASSING OTHER VEHICLE,A,HAD NOT BEEN DRINKING,,,M,MALE,64.0,C,CA,H,HISPANIC,1.0,PassengerCarStationWagonJeep,1977.0,PONT,Grand Prix,YEL,,,,,,,,,,,,
1202372,640712,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,STOP & GO TRAFFIC,,S,US-101,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,38.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2017.0,SUBARU,Outback,WHI,,,,,,,,,,,,
