Collision Id,	Report Number,	Report Version,	Is Preliminary,	NCIC Code,Crash Date Time,	Crash Time Description,	Beat,City Id,	City Code,	City Name,County Code,	City Is Active,	City Is Incorporated,	Collision Type Code,Collision Type Description,	Collision Type Other Desc,	Day Of Week,	DispatchNotified,	HasPhotographs,	HitRun,	IsAttachmentsMailed,	IsDeleted,	IsHighwayRelated,	IsTowAway,	JudicialDistrict,	MotorVehicleInvolvedWithCode,	MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,	NumberInjured,	NumberKilled,Weather 1, Weather 2, Road Condition 1, Road Condition 2, Special Condition,LightingCode, LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,	PedestrianActionCode,PedestrianActionDesc,PreparedDate,	Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,	PrimaryCollisionPartyNumber,	PrimaryRoad,	ReportingDistrict,	ReportingDistrictCode,ReviewedDate,	RoadwaySurfaceCode,SecondaryDirection,	SecondaryDistance,	SecondaryRoad,	SecondaryUnitOfMeasure,	SketchDesc,	TrafficControlDeviceCode,CreatedDate,	ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,	IsAdditonalObjectStruck,NotificationDate,	NotificationTimeDescription,	HasDigitalMediaFiles,	EvidenceNumber,	IsLocationReferToNarrative,	IsAOIOneSameAsLocation
910415,9340-2019-00280,1,False,9340,1/16/2019 12:15:00 AM,15,681,1368,4313,San Jose,43,True,True,B,SIDE SWIPE,,Wednesday,NotApplicable,False,M,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0,0,RAINING,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.3805,-121.8585,,,,,A,NO PEDESTRIANS INVOLVED,1/16/2019 12:00:00 AM,A,21658(a),False,1.0,I-680 N/B,,,1/24/2019 7:18:47 AM,B,S,1850.0,Berryessa Rd,F,,D,1/24/2019 7:19:26 AM,1/24/2019 7:19:26 AM,,True,2,,,,,,,
910343,9340-2019-00347,1,False,9340,1/14/2019 8:40:00 AM,840,110,1368,4313,San Jose,43,True,True,C,REAR END,,Monday,Yes,False,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,1,0,RAINING,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.298995,-121.812304,,,,,A,NO PEDESTRIANS INVOLVED,1/14/2019 12:00:00 AM,A,22350,False,1.0,us 101 n/b from yerba buena rd.,,,1/24/2019 6:27:38 AM,B,N,1600.0,Yerba Buena Rd,F,,D,1/24/2019 6:28:21 AM,1/24/2019 6:28:21 AM,,True,2,,,,,,,
910321,9340-2019-00261,1,False,9340,1/14/2019 11:50:00 PM,2350,681,1368,4313,San Jose,43,True,True,D,BROADSIDE,,Monday,Yes,True,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,2,0,CLEAR,, NO UNUSUAL CONDITIONS,, ,D,DARK-NO STREET LIGHTS,37.3447,-121.8451,,,,,A,NO PEDESTRIANS INVOLVED,1/14/2019 12:00:00 AM,A,23152(f),True,1.0,I-680 S/B,,,1/24/2019 5:17:22 AM,B,N,2500.0,US-101,F,,D,1/24/2019 5:18:37 AM,1/24/2019 5:18:37 AM,,True,2,,,,,,,
910160,9340-2019-00209,1,False,9340,1/11/2019 3:00:00 PM,1500,901,1368,4313,San Jose,43,True,True,B,SIDE SWIPE,,Friday,NotApplicable,True,,,False,False,False,Santa Clara Superior,E,PARKED MOTOR VEHICLE,,0,0,CLOUDY,, NO UNUSUAL CONDITIONS,, School Bus Collision,A,DAYLIGHT,37.21485,-121.85016,,,,,A,NO PEDESTRIANS INVOLVED,1/11/2019 12:00:00 AM,A,22107,False,1.0,Bret Harte Dr,,,1/23/2019 2:29:11 PM,B,S,120.0,Bright Oak Pl,F,,D,1/23/2019 2:29:52 PM,1/23/2019 2:29:52 PM,,,2,,,,,,,
910092,9340-2019-00238,1,False,9340,1/13/2019 5:55:00 AM,555,681,1368,4313,San Jose,43,True,True,C,REAR END,,Sunday,Yes,False,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,1,0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,B,DUSK-DAWN,37.3408,-121.8493,,,,,A,NO PEDESTRIANS INVOLVED,1/13/2019 12:00:00 AM,A,23152(a),True,1.0,NB I-680 TO KING ROAD,,,1/23/2019 1:59:32 PM,A,S,100.0,King Rd,F,,D,1/23/2019 2:00:16 PM,1/23/2019 2:00:16 PM,,True,2,,,,,,,
910077,9340-2019-00286,1,False,9340,1/16/2019 6:45:00 AM,645,281,1368,4313,San Jose,43,True,True,C,REAR END,,Wednesday,Yes,False,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,2,0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.31609,-121.91669,,,,,A,NO PEDESTRIANS INVOLVED,1/16/2019 12:00:00 AM,A,22350,False,1.0,I-280 N/B,,,1/23/2019 1:51:00 PM,B,N,500.0,Meridian Ave,F,,D,1/23/2019 1:51:42 PM,1/23/2019 1:51:42 PM,,True,2,,,,,,,
910061,9340-2019-00357,1,False,9340,1/13/2019 11:40:00 PM,2340,120,1368,4313,San Jose,43,True,True,E,HIT OBJECT,,Sunday,NotApplicable,False,M,,False,True,True,Santa Clara Superior,J,OTHER OBJECT,DIRT/GRASS FIELD,0,0,CLEAR,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.225861,-121.56589,,,,,A,NO PEDESTRIANS INVOLVED,1/19/2019 12:00:00 AM,A,22107,False,1.0,US-101 SOUTHBOUND FROM DE LA CRUZ BLVD.,,,1/23/2019 1:43:22 PM,A,N,350.0,De la Cruz Blvd,F,,D,1/23/2019 1:43:50 PM,1/23/2019 1:43:50 PM,,True,2,,,,,,,
910022,9340-2019-00292,1,False,9340,1/16/2019 3:50:00 PM,1550,120,1368,4313,San Jose,43,True,True,B,SIDE SWIPE,,Wednesday,NotApplicable,False,M,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0,0,RAINING,, NO UNUSUAL CONDITIONS,, ,D,DARK-NO STREET LIGHTS,37.37607,-121.94014,,,,,A,NO PEDESTRIANS INVOLVED,1/16/2019 12:00:00 AM,A,22107,False,1.0,US-101 S/B (FROM DE LA CRUZ BLVD),,,1/23/2019 1:14:09 PM,B,S,480.0,De la Cruz Blvd,F,,D,1/23/2019 1:15:54 PM,1/23/2019 1:15:54 PM,,True,2,,,,,,,
910014,9340-2019-00287,1,False,9340,1/16/2019 6:15:00 AM,615,110,1368,4313,San Jose,43,True,True,B,SIDE SWIPE,,Wednesday,NotApplicable,False,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0,0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,D,DARK-NO STREET LIGHTS,37.2615,-121.8002,,,,,A,NO PEDESTRIANS INVOLVED,1/16/2019 12:00:00 AM,A,21658(a),False,1.0,US101 S/B,,,1/23/2019 1:10:24 PM,B,N,0.3,Blossom Hill Rd,M,,D,1/23/2019 1:10:54 PM,1/23/2019 1:10:54 PM,,True,2,,,,,,,
909990,9340-2019-00273,2,False,9340,1/15/2019 4:30:00 PM,1630,089,1368,4313,San Jose,43,True,True,B,SIDE SWIPE,,Tuesday,NotApplicable,False,M,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0,0,RAINING,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.396736,-121.908051,,,,,A,NO PEDESTRIANS INVOLVED,1/15/2019 12:00:00 AM,A,22350,False,1.0,I-880 S/B,,,3/23/2020 4:39:41 PM,B,S,1650.0,Montague Expy,F,,D,1/23/2019 1:00:43 PM,3/23/2020 4:39:49 PM,,True,2,,,,,,,
