PartyId,CollisionId,PartyNumber,PartyType,IsAtFault,IsOnDutyEmergencyVehicle,IsHitAndRun,AirbagCode,AirbagDescription,SafetyEquipmentCode,SafetyEquipmentDescription,Special Information,Other Associate Factor,Inattention,DirectionOfTravel,StreetOrHighwayName,SpeedLimit,MovementPrecCollCode,MovementPrecCollDescription,SobrietyDrugPhysicalCode1,SobrietyDrugPhysicalDescription1,SobrietyDrugPhysicalCode2,SobrietyDrugPhysicalDescription2,GenderCode,GenderDescription,StatedAge,DriverLicenseClass,DriverLicenseStateCode,RaceCode,RaceDesc,Vehicle1TypeId, Vehicle1TypeDesc, Vehicle1Year,Vehicle1Make,Vehicle1Model,Vehicle1Color,V1IsVehicleTowed,Vehicle2TypeId, Vehicle2TypeDesc, Vehicle2Year,Vehicle2Make,Vehicle2Model,Vehicle2Color,V2IsVehicleTowed,Lane,ThruLanes,TotalLanes,IsDREConducted
690669,371046,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,SR-87,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,37.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2012.0,MINI,Cooper S,BLU,,,,,,,,,,,,
690668,371046,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,SR-87,65.0,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,F,FEMALE,26.0,C,CA,B,BLACK,1.0,PassengerCarStationWagonJeep,1991.0,HOND,Accord,MUL,,,,,,,,,,,,
690646,371034,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-880,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,49.0,C,CA,H,HISPANIC,1.0,PassengerCarStationWagonJeep,2014.0,CHEVY,Spark,RED,,,,,,,,,,,,
690645,371034,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-880,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,65.0,C,CA,H,HISPANIC,7.0,SportUtilityVehicle,2008.0,LEXS,RX400h,BLK,,,,,,,,,,,,
690644,371034,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-880,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,49.0,C,CA,W,WHITE,1.0,PassengerCarStationWagonJeep,2012.0,TOYOTA,Prius,WHI,,,,,,,,,,,,
690292,370815,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,STOP & GO TRAFFIC,,S,SR-87,65.0,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,F,FEMALE,30.0,C,CA,B,BLACK,1.0,PassengerCarStationWagonJeep,2012.0,NISS,Altima,SIL,,,,,,,,,,,,
690291,370815,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,STOP & GO TRAFFIC,,S,SR-87,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,27.0,C,CA,H,HISPANIC,7.0,SportUtilityVehicle,1999.0,FORD,Explorer,GRY,,,,,,,,,,,,
690249,370787,4,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,VC SECTION VIOLATED - 22350,,N,SR-85,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,56.0,C,CA,W,WHITE,1.0,PassengerCarStationWagonJeep,2011.0,MERB,E350,GRY,,,,,,,,,,,,
690248,370787,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,SR-85,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,32.0,C,CA,A,ASIAN,7.0,SportUtilityVehicle,2003.0,TOYO,4-Runner,SIL,,,,,,,,,,,,
690247,370787,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,SR-85,65.0,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,58.0,C,CA,W,WHITE,7.0,SportUtilityVehicle,2009.0,CHEV,Suburban,BLU,,,,,,,,,,,,
