Collision Id,	Report Number,	Report Version,	Is Preliminary,	NCIC Code,Crash Date Time,	Crash Time Description,	Beat,City Id,	City Code,	City Name,County Code,	City Is Active,	City Is Incorporated,	Collision Type Code,Collision Type Description,	Collision Type Other Desc,	Day Of Week,	DispatchNotified,	HasPhotographs,	HitRun,	IsAttachmentsMailed,	IsDeleted,	IsHighwayRelated,	IsTowAway,	JudicialDistrict,	MotorVehicleInvolvedWithCode,	MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,	NumberInjured,	NumberKilled,Weather 1, Weather 2, Road Condition 1, Road Condition 2, Special Condition,LightingCode, LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,	PedestrianActionCode,PedestrianActionDesc,PreparedDate,	Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,	PrimaryCollisionPartyNumber,	PrimaryRoad,	ReportingDistrict,	ReportingDistrictCode,ReviewedDate,	RoadwaySurfaceCode,SecondaryDirection,	SecondaryDistance,	SecondaryRoad,	SecondaryUnitOfMeasure,	SketchDesc,	TrafficControlDeviceCode,CreatedDate,	ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,	IsAdditonalObjectStruck,NotificationDate,	NotificationTimeDescription,	HasDigitalMediaFiles,	EvidenceNumber,	IsLocationReferToNarrative,	IsAOIOneSameAsLocation
104497,9340-2016-2454,1,False,9340,1/26/2016 3:45:00 PM,1545,088,1368,4313,San Jose,43,True,True,B,SIDE SWIPE,,Tuesday,Yes,False,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,1,0,CLEAR,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.34695,-121.92099,,,,,A,NO PEDESTRIANS INVOLVED,1/26/2016 12:00:00 AM,A,22107,False,2.0,I-880 N/B,,,1/28/2016 9:33:57 AM,A,S,1100.0,Coleman Avenue,F,,D,1/28/2016 9:36:29 AM,1/28/2016 9:36:29 AM,,,2,,,,,,,
104475,9340-2016-2419,1,False,9340,1/25/2016 9:45:00 AM,945,281,1368,4313,San Jose,43,True,True,C,REAR END,,Monday,NotApplicable,False,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,1,0,CLEAR,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.31619,-121.9169,,,,,A,NO PEDESTRIANS INVOLVED,1/25/2016 12:00:00 AM,A,22350,False,1.0,I-280 N/B,,,1/28/2016 9:23:32 AM,A,S,378.0,Leigh Ave,F,REFER TO PG. #4,D,1/28/2016 9:23:58 AM,1/28/2016 9:23:58 AM,,,2,,,,,,,
104474,9340-2016-2410,1,False,9340,1/24/2016 5:25:00 PM,1725,240,1368,4313,San Jose,43,True,True,E,HIT OBJECT,,Sunday,NotApplicable,False,,,False,True,True,Santa Clara Superior,A,NON-COLLISION,,0,0,CLEAR,, NO UNUSUAL CONDITIONS,, ,B,DUSK-DAWN,37.42127,-121.93815,,,,,A,NO PEDESTRIANS INVOLVED,1/24/2016 12:00:00 AM,A,22107,False,1.0,SR-237 W/B TO ZANKER RD.,,,1/28/2016 9:19:38 AM,A,E,250.0,Zanker Rd,F,,D,1/28/2016 9:20:14 AM,1/28/2016 9:20:14 AM,,,2,,,,,,,
104444,9340-2016-2385,1,False,9340,1/22/2016 11:40:00 PM,2340,281,1368,4313,San Jose,43,True,True,E,HIT OBJECT,,Friday,NotApplicable,False,,,False,True,True,Santa Clara Superior,I,FIXED OBJECT,SIGN POST,0,0,CLOUDY,RAINING, NO UNUSUAL CONDITIONS,, ,D,DARK-NO STREET LIGHTS,37.3267,-121.876597,,,,,A,NO PEDESTRIANS INVOLVED,1/22/2016 12:00:00 AM,A,22350,False,1.0,I-280 S/B to 7th st,,,1/28/2016 9:01:19 AM,B,N,800.0,Seventh Street,F,,D,1/28/2016 9:02:07 AM,1/28/2016 9:02:07 AM,,,2,,,,,,,
104106,9340-2016-2446,1,False,9340,1/26/2016 6:05:00 PM,1805,088,1368,4313,San Jose,43,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0,0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.3169,-121.9406,,,,,A,NO PEDESTRIANS INVOLVED,1/26/2016 12:00:00 AM,A,22350,False,1.0,I-880 S/B to I-280 S/B,,,1/27/2016 3:46:25 PM,A,S,20.0,I-280 S/B,F,,D,1/27/2016 3:47:19 PM,1/27/2016 3:47:19 PM,,,2,,,,,,,
104098,9340-2016-2440,1,False,9340,1/26/2016 9:10:00 AM,910,120,1368,4313,San Jose,43,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0,0,CLEAR,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.37699,-121.94365,,,,,A,NO PEDESTRIANS INVOLVED,1/26/2016 12:00:00 AM,A,21658(a),False,2.0,US101 S/B,,,1/27/2016 3:40:02 PM,A,N,100.0,Trimble Rd,F,,D,1/27/2016 3:41:17 PM,1/27/2016 3:41:17 PM,,,2,,,,,,,
104074,9340-2016-2443,1,False,9340,1/26/2016 6:40:00 PM,1840,510,1368,4313,San Jose,43,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,False,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0,0,CLEAR,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.1914,-121.57505,,,,,A,NO PEDESTRIANS INVOLVED,1/26/2016 12:00:00 AM,A,22350,False,1.0,SAN TOMAS EXPRESSWAY S/B,,,1/27/2016 3:17:31 PM,A,S,950.0,STEVENS CREEK BOULEVARD,F,,D,1/27/2016 3:18:07 PM,1/27/2016 3:18:07 PM,,,2,,,,,,,
104054,9340-2016-2452,1,False,9340,1/26/2016 3:10:00 PM,1510,230,1368,4313,San Jose,43,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0,0,CLEAR,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.253,-121.5824,,,,,A,NO PEDESTRIANS INVOLVED,1/26/2016 12:00:00 AM,A,22350,False,2.0,SR-237 E/B,,,1/27/2016 3:01:08 PM,A,W,50.0,Lafayette St,F,,D,1/27/2016 3:01:36 PM,1/27/2016 3:01:36 PM,,,2,,,,,,,
104042,9340-2016-2453,1,False,9340,1/26/2016 5:35:00 PM,1735,230,1368,4313,San Jose,43,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,1,0,CLEAR,, NO UNUSUAL CONDITIONS,, ,B,DUSK-DAWN,37.258,-121.572,,,,,A,NO PEDESTRIANS INVOLVED,1/26/2016 12:00:00 AM,A,22350,False,2.0,SR-237 E/B,,,1/27/2016 2:54:19 PM,A,E,50.0,N. 1st Street,F,,D,1/27/2016 2:54:55 PM,1/27/2016 2:54:55 PM,,,2,,,,,,,
104023,9340-2016-5140,1,False,9340,1/26/2016 8:25:00 AM,825,681,1368,4313,San Jose,43,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0,0,CLEAR,, NO UNUSUAL CONDITIONS,, Late-Reported,A,DAYLIGHT,37.417061,-121.891255,,,,,A,NO PEDESTRIANS INVOLVED,1/26/2016 12:00:00 AM,A,22350,False,1.0,I-680 N/B,,,1/27/2016 2:47:26 PM,A,S,578.0,Montague Expy,F,REFER TO PG. #3,D,1/27/2016 2:47:53 PM,1/27/2016 2:47:53 PM,,,2,,,,,,,
