PartyId,CollisionId,PartyNumber,PartyType,IsAtFault,IsOnDutyEmergencyVehicle,IsHitAndRun,AirbagCode,AirbagDescription,SafetyEquipmentCode,SafetyEquipmentDescription,Special Information,Other Associate Factor,Inattention,DirectionOfTravel,StreetOrHighwayName,SpeedLimit,MovementPrecCollCode,MovementPrecCollDescription,SobrietyDrugPhysicalCode1,SobrietyDrugPhysicalDescription1,SobrietyDrugPhysicalCode2,SobrietyDrugPhysicalDescription2,GenderCode,GenderDescription,StatedAge,DriverLicenseClass,DriverLicenseStateCode,RaceCode,RaceDesc,Vehicle1TypeId, Vehicle1TypeDesc, Vehicle1Year,Vehicle1Make,Vehicle1Model,Vehicle1Color,V1IsVehicleTowed,Vehicle2TypeId, Vehicle2TypeDesc, Vehicle2Year,Vehicle2Make,Vehicle2Model,Vehicle2Color,V2IsVehicleTowed,Lane,ThruLanes,TotalLanes,IsDREConducted
1709995,905484,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-280,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,24.0,C,CA,H,HISPANIC,7.0,SportUtilityVehicle,2012.0,FORD,Edge,SIL,,,,,,,,,,,,
1709994,905484,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-280,65.0,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,M,MALE,28.0,C,CA,A,ASIAN,7.0,SportUtilityVehicle,2017.0,MAZDA,CX-5,WHT,,,,,,,,,,,,
1709931,905452,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,SR-17,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,28.0,C,CA,B,BLACK,7.0,SportUtilityVehicle,2000.0,FORD,Explorer,DGR,,,,,,,,,,,,
1709886,905427,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,US101,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,45.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2013.0,HYUNDAI,Elantra,GRY,,,,,,,,,,,,
1709885,905427,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,US101,65.0,R,OTHER,A,HAD NOT BEEN DRINKING,,,M,MALE,75.0,C,CA,W,WHITE,1.0,PassengerCarStationWagonJeep,1997.0,HONDA,Civic,BLU,,,,,,,,,,,,
1709845,905404,2,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,US101,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,26.0,,,H,HISPANIC,22.0,PickupsAndPanels,2003.0,CHEV,Silverado,WHI,,,,,,,,,,,,
1709844,905404,1,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,US101,65.0,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,48.0,C,CA,O,OTHER,8.0,MiniVan,2008.0,HOND,Odyssey,SIL,,,,,,,,,,,,
1709729,905344,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,US101,65.0,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,36.0,C,CA,H,HISPANIC,1.0,PassengerCarStationWagonJeep,2012.0,NISS,Versa,WHI,,,,,,,,,,,,
1709728,905344,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,US101,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,21.0,C,CA,W,WHITE,8.0,MiniVan,2015.0,FORD,TRANSIT 350,WHI,,,,,,,,,,,,
1709688,905325,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,US-101,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,58.0,F,TN,W,WHITE,8.0,MiniVan,2018.0,GMC,Savana,YEL,,,,,,,,,,,,
