Collision Id,	Report Number,	Report Version,	Is Preliminary,	NCIC Code,Crash Date Time,	Crash Time Description,	Beat,City Id,	City Code,	City Name,County Code,	City Is Active,	City Is Incorporated,	Collision Type Code,Collision Type Description,	Collision Type Other Desc,	Day Of Week,	DispatchNotified,	HasPhotographs,	HitRun,	IsAttachmentsMailed,	IsDeleted,	IsHighwayRelated,	IsTowAway,	JudicialDistrict,	MotorVehicleInvolvedWithCode,	MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,	NumberInjured,	NumberKilled,Weather 1, Weather 2, Road Condition 1, Road Condition 2, Special Condition,LightingCode, LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,	PedestrianActionCode,PedestrianActionDesc,PreparedDate,	Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,	PrimaryCollisionPartyNumber,	PrimaryRoad,	ReportingDistrict,	ReportingDistrictCode,ReviewedDate,	RoadwaySurfaceCode,SecondaryDirection,	SecondaryDistance,	SecondaryRoad,	SecondaryUnitOfMeasure,	SketchDesc,	TrafficControlDeviceCode,CreatedDate,	ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,	IsAdditonalObjectStruck,NotificationDate,	NotificationTimeDescription,	HasDigitalMediaFiles,	EvidenceNumber,	IsLocationReferToNarrative,	IsAOIOneSameAsLocation
1394881,9340-2021-00137,1,False,9340,1/19/2021 2:45:00 PM,1445,681,1368,4313,San Jose,43,True,True,C,REAR END,,Tuesday,NotApplicable,False,M,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLEAR,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.3361,-121.8497,,,,,A,NO PEDESTRIANS INVOLVED,1/19/2021 12:00:00 AM,A,22350,False,1.0,I-680 S/B TO US-101 S/B,,,1/27/2021 8:07:22 AM,A,N,250.0,Story Rd,F,,D,1/27/2021 8:08:05 AM,1/27/2021 8:08:05 AM,,True,2,,,,,,,
1394867,9340-2021-00164,1,False,9340,1/22/2021 4:05:00 PM,1605,282,1368,4313,San Jose,43,True,True,E,HIT OBJECT,,Friday,Yes,False,,,False,True,True,Santa Clara Superior,I,FIXED OBJECT,DIRT EMBANKMENT,1.0,0.0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.19574,-121.583223,,,,,A,NO PEDESTRIANS INVOLVED,1/22/2021 12:00:00 AM,A,22350,False,1.0,I-280 N/B TO SARATOGA AVENUE,,,1/27/2021 7:50:59 AM,B,S,5845.0,Lawrence Expy,F,,A,1/27/2021 7:52:05 AM,1/27/2021 7:52:05 AM,,True,2,,,,,,,
1394857,9340-2021-00106,1,False,9340,1/15/2021 9:00:00 AM,900,087,1368,4313,San Jose,43,True,True,E,HIT OBJECT,,Friday,NotApplicable,True,,,False,True,True,Santa Clara Superior,I,FIXED OBJECT,RAISED ISLAND,0.0,0.0,CLEAR,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.315163,-121.887638,,,,,A,NO PEDESTRIANS INVOLVED,1/15/2021 12:00:00 AM,A,22107,False,1.0,SR-87 N/B FROM LELONG STREET,,,1/27/2021 7:42:26 AM,A,N,43.0,LELONG STREET,F,,D,1/27/2021 7:43:24 AM,1/27/2021 7:43:24 AM,,True,2,,,,,,,
1394850,9340-2021-00191,1,False,9340,1/24/2021 5:59:00 PM,1759,088,1368,4313,San Jose,43,True,True,E,HIT OBJECT,,Sunday,NotApplicable,False,,,False,True,True,Santa Clara Superior,I,FIXED OBJECT,METAL ATTENUATOR,1.0,0.0,CLOUDY,RAINING, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.3345,-121.9359,,,,,A,NO PEDESTRIANS INVOLVED,1/24/2021 12:00:00 AM,A,22350,False,1.0,I-880 N/B TO BASCOM AVE. N/B,,,1/27/2021 7:37:04 AM,B,N,125.0,Bascom Ave,F,,D,1/27/2021 7:37:51 AM,1/27/2021 7:37:51 AM,,True,2,,,,,,,
1394834,9340-2021-00162,1,False,9340,1/22/2021 10:55:00 AM,1055,083,1368,4313,San Jose,43,True,True,C,REAR END,,Friday,NotApplicable,False,,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.254841,-121.859064,,,,,A,NO PEDESTRIANS INVOLVED,1/22/2021 12:00:00 AM,A,22106,False,1.0,SR-85 Southbound to Santa Teresa Blvd.,,,1/27/2021 7:18:44 AM,B,N,50.0,Santa Teresa Blvd,F,,D,1/27/2021 7:19:46 AM,1/27/2021 7:19:46 AM,,True,2,,,,,,,
1394830,9340-2021-00160,1,False,9340,1/22/2021 7:45:00 AM,745,110,1368,4313,San Jose,43,True,True,B,SIDE SWIPE,,Friday,NotApplicable,False,,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.351075,-121.862583,,,,,A,NO PEDESTRIANS INVOLVED,1/22/2021 12:00:00 AM,A,22350,False,1.0,US 101 N/B,,,1/27/2021 7:04:39 AM,B,N,200.0,ALUM ROCK AVE.,F,,D,1/27/2021 7:06:56 AM,1/27/2021 7:06:56 AM,,True,2,,,,,,,
1394652,9340-2021-00196,1,False,9340,1/24/2021 1:35:00 AM,135,110,1368,4313,San Jose,43,True,True,E,HIT OBJECT,,Sunday,NotApplicable,False,,,False,True,False,Santa Clara Superior,J,OTHER OBJECT,CONCRETE DRAIN OUTLET,0.0,0.0,CLEAR,, NO UNUSUAL CONDITIONS,, On-Duty Emergency Vehicle,C,DARK-STREET LIGHTS,37.353043,-121.86606,,,,,A,NO PEDESTRIANS INVOLVED,1/24/2021 12:00:00 AM,A,22350,False,1.0,US-101 SB,,,1/26/2021 3:29:23 PM,A,S,80.0,MCKEE ROAD,F,,D,1/26/2021 3:30:02 PM,1/26/2021 3:30:02 PM,,True,2,,,,,,,
1394514,9340-2021-00165,1,False,9340,1/22/2021 3:30:00 PM,1530,110,1368,4313,San Jose,43,True,True,B,SIDE SWIPE,,Friday,NotApplicable,False,M,,False,True,False,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.304051,-121.815863,,,,,A,NO PEDESTRIANS INVOLVED,1/22/2021 12:00:00 AM,A,22107,False,1.0,US-101 N/B FROM CAPITOL EXPRESSWAY W/B,,,1/26/2021 1:08:25 PM,A,,,Yerba Buena Rd,,,D,1/26/2021 1:10:24 PM,1/26/2021 1:10:24 PM,,True,2,,,,,,,
1394331,9340-2021-00201,1,False,9340,1/22/2021 9:30:00 AM,930,282,1368,4313,San Jose,43,True,True,F,OVERTURNED,,Friday,NotApplicable,False,,,False,True,True,Santa Clara Superior,A,NON-COLLISION,,1.0,0.0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.318082,-121.97694,,,,,A,NO PEDESTRIANS INVOLVED,1/22/2021 12:00:00 AM,A,22350,False,1.0,I-280 N/B from Saratoga Ave.,,,1/26/2021 10:30:42 AM,B,N,300.0,Saratoga Ave,F,,D,1/26/2021 10:31:16 AM,1/26/2021 10:31:16 AM,,True,2,,,,,,,
1394320,9340-2021-00167,1,False,9340,1/22/2021 4:40:00 PM,1640,282,1368,4313,San Jose,43,True,True,C,REAR END,,Friday,NotApplicable,False,,,False,True,True,Santa Clara Superior,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLOUDY,RAINING, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.31654,-121.97445,,,,,A,NO PEDESTRIANS INVOLVED,1/22/2021 12:00:00 AM,A,22107,False,1.0,I-280 S/B FROM SARATOGA AVE.,,,1/26/2021 10:23:26 AM,B,S,100.0,Saratoga Ave,F,,D,1/26/2021 10:23:54 AM,1/26/2021 10:23:54 AM,,True,2,,,,,,,
