PartyId,CollisionId,PartyNumber,PartyType,IsAtFault,IsOnDutyEmergencyVehicle,IsHitAndRun,AirbagCode,AirbagDescription,SafetyEquipmentCode,SafetyEquipmentDescription,Special Information,Other Associate Factor,Inattention,DirectionOfTravel,StreetOrHighwayName,SpeedLimit,MovementPrecCollCode,MovementPrecCollDescription,SobrietyDrugPhysicalCode1,SobrietyDrugPhysicalDescription1,SobrietyDrugPhysicalCode2,SobrietyDrugPhysicalDescription2,GenderCode,GenderDescription,StatedAge,DriverLicenseClass,DriverLicenseStateCode,RaceCode,RaceDesc,Vehicle1TypeId, Vehicle1TypeDesc, Vehicle1Year,Vehicle1Make,Vehicle1Model,Vehicle1Color,V1IsVehicleTowed,Vehicle2TypeId, Vehicle2TypeDesc, Vehicle2Year,Vehicle2Make,Vehicle2Model,Vehicle2Color,V2IsVehicleTowed,Lane,ThruLanes,TotalLanes,IsDREConducted
3214656,1681197,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,SR-85,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,39.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2020.0,TESL,MODEL,GRY,False,,,,,,,,2,3.0,3.0,False
3214655,1681197,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE NOT IN USE,NONE APPARENT,,S,SR-85,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,,,,,,,,99.0,OtherUnknownHitAndRunDriver,,,,,False,,,,,,,,2,3.0,3.0,False
3214651,1681194,2,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,SR-87,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,49.0,C,CA,H,HISPANIC,22.0,PickupsAndPanels,2010.0,DODG,RAM 1500 PU,BLK,False,,,,,,,,1,2.0,2.0,False
3214650,1681194,1,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,SR-87,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,49.0,C,CA,H,HISPANIC,1.0,PassengerCarStationWagonJeep,2000.0,TOYT,COROLLA,DBL,False,,,,,,,,1,2.0,2.0,False
3214630,1681183,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,STOP & GO TRAFFIC,,S,SR-87,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,34.0,C,CA,H,HISPANIC,7.0,SportUtilityVehicle,2019.0,TOYT,HIGHLANDER,GRY,False,,,,,,,,1,2.0,65.0,False
3214629,1681183,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,STOP & GO TRAFFIC,,S,SR-87,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,53.0,C,CA,W,WHITE,22.0,PickupsAndPanels,2013.0,CHEV,2500,WHI,False,,,,,,,,1,2.0,3.0,False
3214628,1681183,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,SR-87,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,47.0,C,CA,H,HISPANIC,8.0,MiniVan,2016.0,DODG,Ram PROMASTER,WHI,False,,,,,,,,1,2.0,3.0,False
3214517,1681123,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,I-880,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,64.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2005.0,TOYT,COROLLA,RED,False,,,,,,,,2,4.0,4.0,False
3214516,1681123,1,Driver,True,False,False,P,NOT REQUIRED,W,MOTOR BICYCLE DRIVER WITH HELMET,CELL PHONE NOT IN USE,NONE APPARENT,,S,I-880,65.0,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,M,MALE,39.0,M1,CA,W,WHITE,2.0,Motorcycle,1996.0,HOND,CBR,BLK,True,,,,,,,,3,4.0,4.0,False
3214481,1681101,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,STOP & GO TRAFFIC,,S,I-280,65.0,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,F,FEMALE,47.0,C,CA,O,OTHER,7.0,SportUtilityVehicle,2010.0,BUIC,ENCLAVE,BLK,False,,,,,,,,EXIT,4.0,5.0,False
