PartyId,CollisionId,PartyNumber,PartyType,IsAtFault,IsOnDutyEmergencyVehicle,IsHitAndRun,AirbagCode,AirbagDescription,SafetyEquipmentCode,SafetyEquipmentDescription,Special Information,Other Associate Factor,Inattention,DirectionOfTravel,StreetOrHighwayName,SpeedLimit,MovementPrecCollCode,MovementPrecCollDescription,SobrietyDrugPhysicalCode1,SobrietyDrugPhysicalDescription1,SobrietyDrugPhysicalCode2,SobrietyDrugPhysicalDescription2,GenderCode,GenderDescription,StatedAge,DriverLicenseClass,DriverLicenseStateCode,RaceCode,RaceDesc,Vehicle1TypeId, Vehicle1TypeDesc, Vehicle1Year,Vehicle1Make,Vehicle1Model,Vehicle1Color,V1IsVehicleTowed,Vehicle2TypeId, Vehicle2TypeDesc, Vehicle2Year,Vehicle2Make,Vehicle2Model,Vehicle2Color,V2IsVehicleTowed,Lane,ThruLanes,TotalLanes,IsDREConducted
2210063,1166955,3,Driver,,False,False,P,NOT REQUIRED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,VC SECTION VIOLATED - 22350,,S,US101,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,67.0,B,CA,A,ASIAN,9.0,Paratransit,2015.0,FORD,F350,YEL,,,,,,,,,,,,
2210062,1166955,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,US101,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,55.0,C,CA,H,HISPANIC,7.0,SportUtilityVehicle,2004.0,TOYT,Highlander,GRY,,,,,,,,,,,,
2210061,1166955,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,US101,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,57.0,C,CA,W,WHITE,8.0,MiniVan,2010.0,CHRY,Town & Country,GRY,,,,,,,,,,,,
2210008,1166927,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,I-280,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,31.0,C,CA,H,HISPANIC,1.0,PassengerCarStationWagonJeep,2012.0,HOND,Accord,BLK,,,,,,,,,,,,
2210007,1166927,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,I-280,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,29.0,C,CA,W,WHITE,1.0,PassengerCarStationWagonJeep,2012.0,MAZD,3 Litre,WHI,,,,,,,,,,,,
2210006,1166927,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,I-280,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,62.0,C,CA,W,WHITE,1.0,PassengerCarStationWagonJeep,2015.0,AUDI,A4,GRY,,,,,,,,,,,,
2209593,1166718,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-280,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,40.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2018.0,VOLK,GTI,BLK,,,,,,,,,,,,
2209592,1166718,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-280,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,71.0,C,CA,H,HISPANIC,1.0,PassengerCarStationWagonJeep,2015.0,TOYT,Yaris,SIL,,,,,,,,,,,,
2209563,1166701,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,SR-85,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,56.0,C,CA,W,WHITE,1.0,PassengerCarStationWagonJeep,2017.0,MAZD,CX-3,WHI,,,,,,,,,,,,
2209562,1166701,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE NOT IN USE,NONE APPARENT,,S,SR-85,65.0,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,99.0,OtherUnknownHitAndRunDriver,,,,,,,,,,,,,,,,
2209470,1166658,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,US101,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,36.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2017.0,LEXUS,GS 350,GRY,,,,,,,,,,,,
2209469,1166658,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,US101,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,44.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2004.0,TOYO,Highlander,GLD,,,,,,,,,,,,
2209368,1166605,4,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-280,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,17.0,C,CA,W,WHITE,1.0,PassengerCarStationWagonJeep,2008.0,TOYO,Avalon,RED,,,,,,,,,,,,
2209367,1166605,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-280,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,42.0,C,CA,H,HISPANIC,8.0,MiniVan,2008.0,TOYOTA,Sienna,GRY,,,,,,,,,,,,
2209366,1166605,2,Driver,,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-280,65.0,A,STOPPED,A,HAD NOT BEEN DRINKING,,,F,FEMALE,29.0,C,CA,O,OTHER,1.0,PassengerCarStationWagonJeep,2013.0,INFINITY,G37,BLK,,,,,,,,,,,,
2209365,1166605,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,N,I-280,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,26.0,C,CA,A,ASIAN,1.0,PassengerCarStationWagonJeep,2007.0,MAZDA,3  ,GRY,,,,,,,,,,,,
2209259,1166554,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,I-880,65.0,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,35.0,C,CA,W,WHITE,7.0,SportUtilityVehicle,2013.0,MAZ,CX-5,WHT,,,,,,,,,,,,
2209258,1166554,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,,S,I-880,65.0,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,M,MALE,28.0,C,CA,O,OTHER,1.0,PassengerCarStationWagonJeep,2016.0,TOYT,Corolla,WHT,,,,,,,,,,,,
