Collision Id,	Report Number,	Report Version,	Is Preliminary,	NCIC Code,Crash Date Time,	Crash Time Description,	Beat,City Id,	City Code,	City Name,County Code,	City Is Active,	City Is Incorporated,	Collision Type Code,Collision Type Description,	Collision Type Other Desc,	Day Of Week,	DispatchNotified,	HasPhotographs,	HitRun,	IsAttachmentsMailed,	IsDeleted,	IsHighwayRelated,	IsTowAway,	JudicialDistrict,	MotorVehicleInvolvedWithCode,	MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,	NumberInjured,	NumberKilled,Weather 1, Weather 2, Road Condition 1, Road Condition 2, Special Condition,LightingCode, LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,	PedestrianActionCode,PedestrianActionDesc,PreparedDate,	Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,	PrimaryCollisionPartyNumber,	PrimaryRoad,	ReportingDistrict,	ReportingDistrictCode,ReviewedDate,	RoadwaySurfaceCode,SecondaryDirection,	SecondaryDistance,	SecondaryRoad,	SecondaryUnitOfMeasure,	SketchDesc,	TrafficControlDeviceCode,CreatedDate,	ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,	IsAdditonalObjectStruck,NotificationDate,	NotificationTimeDescription,	HasDigitalMediaFiles,	EvidenceNumber,	IsLocationReferToNarrative,	IsAOIOneSameAsLocation
2296098,9340-2024-00184,1,False,9340,1/13/2024 7:45:00 PM,1945,110,1368.0,4313.0,San Jose,43.0,True,True,C,REAR END,,Saturday,NotApplicable,False,,,False,True,False,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,4.0,0.0,RAINING,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.318547,-121.833238,,,,,A,NO PEDESTRIANS INVOLVED,1/13/2024 7:45:00 PM,A,VC 22350,False,1.0,US-101 SB TO TULLY RD,,,1/24/2024 12:11:51 PM,B,N,300.0,TULLY RD,F,,A,1/24/2024 12:11:54 PM,1/24/2024 12:11:54 PM,False,True,4,,1/13/2024 7:55:00 PM,1955,False,,,True
2296007,9340-2024-00244,1,False,9340,1/17/2024 3:25:00 PM,1525,120,1368.0,4313.0,San Jose,43.0,True,True,B,SIDE SWIPE,,Wednesday,NotApplicable,False,,,False,True,False,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLEAR,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.363939,-121.901479,,,,,A,NO PEDESTRIANS INVOLVED,1/17/2024 3:25:00 PM,A,VC 21658(A),False,,US-101 S/B,,,1/24/2024 10:55:17 AM,A,S,50.0,I-880,F,,D,1/24/2024 10:55:20 AM,1/24/2024 10:55:20 AM,False,True,4,,1/17/2024 3:31:00 PM,1531,False,,,True
2295366,9340-2024-00228,1,False,9340,1/17/2024 8:30:00 AM,830,120,1368.0,4313.0,San Jose,43.0,True,True,C,REAR END,,Wednesday,NotApplicable,False,,,False,True,True,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,1.0,0.0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.371388,-121.915164,,,,,A,NO PEDESTRIANS INVOLVED,1/17/2024 8:30:00 AM,A,VC 22350,False,1.0,US-101 N/B,,,1/23/2024 8:14:41 PM,B,S,528.0,N FIRST ST,F,,D,1/23/2024 8:15:14 PM,1/23/2024 8:15:14 PM,False,True,4,,1/17/2024 8:49:00 AM,0849,True,EMBEDDED,,True
2295226,9340-2024-00214,1,False,9340,1/16/2024 8:38:00 AM,838,281,1368.0,4313.0,San Jose,43.0,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,False,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.32541,-121.885753,,,,,A,NO PEDESTRIANS INVOLVED,1/16/2024 8:38:00 AM,A,VC 22350,False,1.0,I-280 N/B,,,1/23/2024 3:23:07 PM,A,N,781.0,FIRST STREET,F,,D,1/23/2024 3:23:10 PM,1/23/2024 3:23:10 PM,False,True,4,,1/16/2024 8:40:00 AM,0840,False,,,True
2295220,9340-2024-00207,1,False,9340,1/15/2024 2:40:00 PM,1440,281,1368.0,4313.0,San Jose,43.0,True,True,C,REAR END,,Monday,NotApplicable,False,,,False,True,False,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,1.0,0.0,CLEAR,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.31758,-121.934212,,,,,A,NO PEDESTRIANS INVOLVED,1/15/2024 2:40:00 PM,A,VC 22350,False,1.0,I-280 N/B TO SR-17/I-880,,,1/23/2024 3:20:21 PM,A,S,455.0,MACARTHUR AVE,F,,D,1/23/2024 3:20:24 PM,1/23/2024 3:20:24 PM,False,True,4,,1/15/2024 2:45:00 PM,1445,False,,,True
2295216,9340-2024-00223,1,False,9340,1/16/2024 6:42:00 PM,1842,088,1368.0,4313.0,San Jose,43.0,True,True,B,SIDE SWIPE,,Tuesday,NotApplicable,False,M,,False,True,False,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,0.0,0.0,RAINING,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.327219,-121.940938,,,,,A,NO PEDESTRIANS INVOLVED,1/16/2024 6:42:00 PM,A,VC 22107,False,1.0,I-880 S/B,,,1/23/2024 3:17:20 PM,B,N,1400.0,STEVENS CREEK BLVD,F,,D,1/23/2024 3:17:24 PM,1/23/2024 3:17:24 PM,False,True,4,,1/16/2024 7:00:00 PM,1900,False,,,True
2295141,9340-2024-00194,1,False,9340,1/14/2024 11:35:00 AM,1135,120,1368.0,4313.0,San Jose,43.0,True,True,B,SIDE SWIPE,,Sunday,NotApplicable,False,,,False,True,False,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLEAR,, NO UNUSUAL CONDITIONS,, ,A,DAYLIGHT,37.36408,-121.902276,,,,,A,NO PEDESTRIANS INVOLVED,1/14/2024 11:35:00 AM,A,VC 21658(A),False,1.0,US-101 S/B,,,1/23/2024 2:05:10 PM,A,S,7.0,I-880,F,,D,1/23/2024 2:05:13 PM,1/23/2024 2:05:13 PM,False,True,4,,1/14/2024 11:40:00 AM,1140,False,,,True
2295116,9340-2024-00174,1,False,9340,1/12/2024 6:00:00 PM,1800,281,1368.0,4313.0,San Jose,43.0,True,True,C,REAR END,,Friday,NotApplicable,False,M,,False,True,False,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLEAR,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.314676,-121.911846,,,,,A,NO PEDESTRIANS INVOLVED,1/12/2024 6:00:00 PM,A,VC 22350,False,1.0,I-280 S/B,,,1/23/2024 1:49:02 PM,A,N,220.0,RACE ST,F,,D,1/23/2024 1:49:05 PM,1/23/2024 1:49:05 PM,False,True,4,,1/12/2024 6:10:00 PM,1810,False,,,True
2295112,9340-2024-00153,1,False,9340,1/11/2024 6:22:00 PM,1822,088,1368.0,4313.0,San Jose,43.0,True,True,C,REAR END,,Thursday,NotApplicable,False,,,False,True,True,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,2.0,0.0,CLEAR,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.330524,-121.940343,,,,,A,NO PEDESTRIANS INVOLVED,1/11/2024 6:22:00 PM,A,VC 22350,False,1.0,I-880 N/B,,,1/23/2024 1:44:49 PM,A,N,100.0,W. HEDDING ST,F,,D,1/23/2024 1:44:52 PM,1/23/2024 1:44:52 PM,False,True,4,,1/11/2024 6:25:00 PM,1825,False,,,True
2295110,9340-2024-00164,1,False,9340,1/11/2024 5:50:00 AM,550,110,1368.0,4313.0,San Jose,43.0,True,True,C,REAR END,,Thursday,NotApplicable,False,M,,False,True,False,SANTA CLARA SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,0.0,0.0,CLOUDY,, NO UNUSUAL CONDITIONS,, ,C,DARK-STREET LIGHTS,37.363041,-121.890636,,,,,A,NO PEDESTRIANS INVOLVED,1/11/2024 5:50:00 AM,A,VC 22350,False,1.0,US-101 N/B,,,1/23/2024 1:43:06 PM,A,S,200.0,OLD OAKLAND RD.,F,,D,1/23/2024 1:43:10 PM,1/23/2024 1:43:10 PM,False,True,4,,1/11/2024 6:10:00 AM,0610,False,,,True
